ID_N;VERSION;SECTOR;TEXTO;MARCA;CANAL;AWARENESS;EVALUATION;PURCHASE;POSTPURCHASE;AMBIGUO;NC2;PRODUCT;PRICE;PROMOTION;PLACE;NC2;ODIO;TRISTEZA;TEMOR;INSATISFACCION;NC2;SATISFACCION;CONFIANZA;FELICIDAD;AMOR;ODIO;TRISTEZA;TEMOR;INSATISFACCION;NC2;SATISFACCION;CONFIANZA;FELICIDAD;AMOR;ODIO;TRISTEZA;TEMOR;INSATISFACCION;NC2;SATISFACCION;CONFIANZA;FELICIDAD;AMOR
827207506862735361;1;RETAIL;#tablondeanuncios Funda nordica ikea #madrid https://t.co/9TvaZSa1De https://t.co/J3bC6t6C9u;IKEA;Microblog;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827237805340377089;1;RETAIL;#tr Me ofrezco para montar muebles de Ikea - Has organizado un plan con amigos pero no encuentras quién se qued... https://t.co/I5cEI3OQvU;IKEA;Microblog;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827283551942881280;1;RETAIL;#VozPópuli Vozpópuli @voz_populi - #LoMásLeidoHoy Mercadona, DIA o Alcampo guardan silencio ante la ola europea... https://t.co/aJTuA4J9UV;ALCAMPO;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827325332181098496;1;RETAIL;#ZonaTecno Destacado: Todo lo que hay que saber sobre la panga, el pescado que Carrefour se niega a co… … https://t.co/rpBAgDNiTv;CARREFOUR;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827193601855778818;1;RETAIL;$Carrefour retira pez #Panga. OCU y grupos x #CompraPública en #ComedoresEscolares con crit. de… https://t.co/hjCDVHmame;CARREFOUR;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827433340244463616;1;RETAIL;. @PoliciadeBurgos @PCivilBurgos @Aytoburgos Mismo peligro c/ Rio Viejo junto Mercadona Villimar;MERCADONA;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827434705112936449;1;RETAIL;.@alcampo, el #supermercadoOnline más barato en #España https://t.co/UiMkpaRSVs vía @DIRyGE #precios #eCommerce #compraOnline #alimentación;ALCAMPO;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827331195537125379;1;RETAIL;.@LachozadeBambu La psicología social es sentirse mal por comprar en mercadona mientras escuchas en la cola que el gluten engorda.;MERCADONA;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827229432901410817;1;RETAIL;".@rodrigodesalas ""Lo mejor de Leroy Merlin es la gente, el valor real de nuestra empresa está ahí""… https://t.co/b6BylAQqgM";LEROY MERLIN;Microblog;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827263568147910656;1;RETAIL;".@Warriorlion5 @Yokai_Watch_ES 35€ más bien. En Alcampo y Carrefour estarán a ese precio y en verano y poco después bajará, como siempre ;)";CARREFOUR;Microblog;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827260306225106944;1;RETAIL;@_caspitas del mercadona, sin lactosa. :P;MERCADONA;Microblog;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827264761112850432;1;RETAIL;@_Queque_ no puedes dejar la sección el castellano. Ikea te necesita a tí @ohmylol #LaVidaModerna https://t.co/bbUzoVxKEA;IKEA;Microblog;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827423698298757120;1;RETAIL;@40Andaya #andaya50sombras #50sombrasMasOscuras los algodones desmaquillantes del mercadona, esa escena es mitica;MERCADONA;Microblog;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827296377487114241;1;RETAIL;@aburciom hoy en el Ikea había unas de corazones con iluminación roja para crear ambiente pero Ada no ha querido.;IKEA;Microblog;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
